polymer,size_class,shape,aging,n_scenarios,mean_particle_hazard,mean_interaction_risk,mean_lymphatic_burden,mean_macrophage_activation,mean_ROS,mean_cytokine,mean_final_risk,max_final_risk
PS,nano-scale,sphere,pristine,432,0.5598318150116365,0.5880021153403776,0.2925795137476291,0.3753574514781603,0.4120422268500125,0.4027281220853115,0.43934570696157954,0.7530080185096285
PP,submicron-to-small,fragment,pristine,216,0.5392690335512113,0.5775367179497904,0.3054026472159137,0.3718300164575596,0.4085044664001676,0.40330668282189247,0.4387845632846116,0.7664056029327831
PVC,submicron-to-small,fragment,pristine,216,0.5547845366300455,0.5865212517603094,0.28401530853325274,0.3770848273083466,0.40916983472447166,0.4001311295982741,0.4378144312896075,0.7517987870916039
PET,larger microplastic,fiber,UV-aged,216,0.6378925312580954,0.6023744727569541,0.24826699481596293,0.3886274477223282,0.4227358992234889,0.4000184591141082,0.43769366785340413,0.746718207917769
PS,larger microplastic,sphere,oxidized,216,0.6716744668002128,0.5994476929573089,0.26783261510548395,0.3836078000659445,0.4321709718611461,0.4054377810832771,0.4374600945247365,0.7579048531317865
PET,small microplastic,sphere,oxidized,216,0.6555983659605253,0.5979258646808928,0.266320686765912,0.37996985867832933,0.42737725145440614,0.40267563722359767,0.4358678480507881,0.7489737799181252
PE,larger microplastic,fragment,UV-aged,216,0.6277526210219556,0.5887442161989137,0.2717419792409705,0.376087763952589,0.42106101207180896,0.401598157802763,0.4343997210915586,0.7581175915173399
PS,small microplastic,fiber,pristine,216,0.552817233383533,0.5846304635812832,0.2675075815852707,0.3789425761806693,0.4051887326605773,0.39589099619779095,0.43354034309144124,0.748983176920188
PVC,larger microplastic,fragment,UV-aged,216,0.6407840439708226,0.5959941747400436,0.25247345067042176,0.3807134601636258,0.4212070969923066,0.3982398234969211,0.43277400453028775,0.742683456130497
PP,larger microplastic,fragment,UV-aged,216,0.6255276210219557,0.5871928727003077,0.2660665358645901,0.3733157259092716,0.4182906607606864,0.3987806057477336,0.43145699743243376,0.7507059461071026
PET,submicron-to-small,fragment,pristine,216,0.5358345366300454,0.5811338688800518,0.2735773452918594,0.3697225412627843,0.4002153515895961,0.3933526179473037,0.43108645220643105,0.7369948452668995
PE,nano-scale,sphere,pristine,432,0.5264419847920384,0.569281538164977,0.3050204040893738,0.35769442977431953,0.40096028557863983,0.39760464354310193,0.43086889252546606,0.7506328666000393
PE,small microplastic,sphere,UV-aged,216,0.6117508690684276,0.5795122097326052,0.28647658755906485,0.3658911635665526,0.4171201617189273,0.4004585023629843,0.4306421359004578,0.7560723556823913
PVC,small microplastic,sphere,UV-aged,216,0.6248423446054123,0.5868759781663286,0.26307470633881447,0.3694669210859224,0.4161135971831913,0.39581912080156473,0.42784675661449256,0.737381726181934
PP,small microplastic,sphere,UV-aged,216,0.6095258690684275,0.5779542214942923,0.2800240869410609,0.3629128281982989,0.4141211517822531,0.3973839424006313,0.42745777640577753,0.7482245094535371
PP,nano-scale,sphere,pristine,432,0.5242169847920383,0.5677423771266115,0.2967604402042048,0.3542116885577944,0.3974194188875165,0.39390448162546327,0.4271420270057809,0.7414351349175247
PET,larger microplastic,fragment,UV-aged,216,0.6218340439708226,0.5906081748320955,0.24400479601492808,0.37394093248628574,0.4128611350628599,0.3921707860631659,0.42666677879741893,0.7294203630932772
PE,larger microplastic,sphere,oxidized,216,0.6393094402113566,0.5808607817986565,0.270155101317672,0.3631050283332507,0.4182813439711088,0.3969341425286303,0.4258381684072238,0.7458577519911168
PS,submicron-to-small,sphere,pristine,216,0.5327247141200677,0.5719807286204236,0.2805100724984556,0.3593904603457449,0.39714410268799616,0.39120245762131167,0.4251138902782379,0.7344731717134051
PVC,nano-scale,sphere,pristine,432,0.5401684705731283,0.5767438266855438,0.27011435205197837,0.35799605754203623,0.3966288514689589,0.3890524235297687,0.4245138953677187,0.721642411056211
PVC,larger microplastic,sphere,oxidized,216,0.6523462537474166,0.5881509515077189,0.249780921184022,0.36753473633052625,0.4181649888941071,0.39332909661602594,0.4239282915262258,0.7296104899549317
PP,larger microplastic,sphere,oxidized,216,0.6370844402113565,0.5793061927889301,0.2642573526297991,0.360303641461359,0.415457508717704,0.3940627187621976,0.42283196272489143,0.7383791328301014
PS,larger microplastic,sphere,UV-aged,216,0.6203224203632404,0.5825581022846698,0.2547556767356546,0.36553427771523156,0.4116559174740767,0.39180539392301167,0.42262573105341344,0.7312659111948834
PS,small microplastic,fragment,pristine,216,0.5365231583354001,0.572916094765465,0.26203047588350503,0.36383514752021207,0.3948792909090358,0.3875718796894625,0.42219542917369735,0.7305081058163121
PE,small microplastic,fiber,pristine,216,0.5204443681955845,0.5660722245808295,0.2703639873268435,0.3588024413244345,0.3915508710686922,0.38772526218633796,0.4221488780614998,0.7377405797812506
PET,small microplastic,sphere,UV-aged,216,0.6058923446054123,0.5814666556877618,0.2536360182411872,0.36244453725729975,0.4074833346651219,0.38942984783416207,0.4214258382573465,0.7233742547281383
PVC,small microplastic,fiber,pristine,216,0.5334864972061867,0.5733474865361502,0.2497689578323854,0.36313859483683547,0.3913080987053629,0.3838761220735582,0.4201583941319067,0.7212348327854171
PP,small microplastic,fiber,pristine,216,0.5182193681955846,0.564519270865418,0.2644916544748745,0.3560401461634567,0.388734403934581,0.38484245700846254,0.41916002744555103,0.73025345653046
PET,larger microplastic,sphere,oxidized,216,0.6333962537474165,0.5827528884793797,0.24102919116389454,0.36074421775070725,0.4097556425658437,0.3871998089814395,0.41773862314212284,0.7161770688960329
