risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
57,SIM047547,EXP0071,MP0297,PP,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8143055399351886,0.7824457879298229,0.9856378889183542,0.8998589289917894,0.8856378723248686,0.8941137409645249,0.8851622857471715,0.9145341577338931,0.8507818023878041,severe,lymphatic burden dominated
58,SIM048483,EXP0072,MP0558,PVC,0.05,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8096568330387597,0.7928675691209754,0.9698660415808018,0.8978280526528571,0.8863825274159364,0.8936307835521646,0.9066020635457356,0.9144993056497821,0.8507289506726706,severe,lymphatic burden dominated
59,SIM048510,EXP0072,MP0585,PVC,0.1,nano-scale,fragment,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.8079138644788049,0.7922003294681892,0.9705319418191308,0.8974827010965659,0.8859296033989563,0.893557962241785,0.9065113541642766,0.9143902515681283,0.8505575023352746,severe,lymphatic burden dominated
60,SIM047679,EXP0071,MP0429,PS,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,normal,0.8033939774459169,0.7873184003381463,0.9707132702840158,0.9062942633201791,0.8834849972890884,0.8929039126952529,0.8726783695800326,0.9111231844905238,0.8503537567956905,severe,lymphatic burden dominated
61,SIM048379,EXP0072,MP0454,PS,0.1,nano-scale,fiber,UV-aged,neutral,high,10.0,365,barrier-impaired,high-fat,0.7375138094239284,0.7756728921219399,0.9945841608384298,0.8878376295234771,0.8706395288166062,0.893212395499489,0.9042827125225488,0.9116288475060592,0.8503425375279906,severe,lymphatic burden dominated
62,SIM047574,EXP0071,MP0324,PP,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8122164529037053,0.781597655270184,0.9856811695820412,0.8993590390135651,0.8849486166214077,0.8936956914843583,0.8846820412239293,0.9141137714647796,0.8503276193482988,severe,lymphatic burden dominated
63,SIM048083,EXP0072,MP0158,PE,0.05,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7445025752206054,0.7749247126761809,1.0,0.8851337992403373,0.8721681321903432,0.8934039016801926,0.9048595199231646,0.912258677063647,0.8502432465493102,severe,lymphatic burden dominated
64,SIM047736,EXP0071,MP0486,PS,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8173245789978065,0.7854889588161857,0.9742467705306572,0.9055154303685193,0.8860556591794843,0.894490998793908,0.8725845154831154,0.9126170790822584,0.8501963558394918,severe,lymphatic burden dominated
65,SIM047706,EXP0071,MP0456,PS,0.1,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,normal,0.8012222647805068,0.7864644717645247,0.9712632534100634,0.9058311065978831,0.8828654092612499,0.8927168679736524,0.8723912673100302,0.9108821283886058,0.8500466996126713,severe,lymphatic burden dominated
66,SIM048110,EXP0072,MP0185,PE,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7424519912827766,0.774035079964024,1.0,0.8846265097736706,0.8714715174533405,0.892977399215983,0.9045492126444437,0.911854828669018,0.8497529203350441,severe,lymphatic burden dominated
