polymer,size_class,shape,aging,n_scenarios,mean_interaction_risk,mean_final_A_MLN,mean_final_A_macrophage,mean_final_A_systemic,mean_AUC_MLN,mean_lymphatic_burden_index
PE,larger microplastic,fragment,oxidized,216,0.6055688002116169,0.6656764184474492,1.531717844244977,1.5595078323187865,105.70607971552381,0.28493732744441763
PET,submicron-to-small,sphere,UV-aged,216,0.6050372863162413,0.6492364745594437,1.4859520792684,1.5871703112949025,103.14390417738143,0.2848609842188644
PVC,submicron-to-small,fragment,pristine,216,0.5865212517603094,0.6551150743256408,1.431916798795932,1.5093865573143834,104.08987002857576,0.2840153085332528
PS,larger microplastic,fragment,oxidized,216,0.6241194046456168,0.6566576237915019,1.600514126562143,1.520492012950672,104.32043966179683,0.28336501405118886
PS,small microplastic,sphere,UV-aged,216,0.5982168051104814,0.6499916233520608,1.4828791114159017,1.57065806971393,103.24679023329399,0.2823100394213163
PP,larger microplastic,fiber,oxidized,216,0.6157559254355841,0.6645919887950037,1.5653928667524695,1.501612663882305,105.53701217365604,0.28226714207181114
PP,submicron-to-small,sphere,pristine,216,0.5516501040231169,0.6529343045930949,1.2964839791288796,1.5911137639938904,103.66304015735939,0.28180065077503713
PVC,small microplastic,fragment,UV-aged,216,0.6116745994340681,0.6514998377054767,1.5337761880894563,1.5073396111653148,103.50736855011743,0.2816750391414447
PS,submicron-to-small,sphere,pristine,216,0.5719807286204236,0.6465913525149243,1.3671111559268965,1.5558284156423008,102.70169554784451,0.28051007249845566
PP,small microplastic,sphere,UV-aged,216,0.5779542214942923,0.6506379218795046,1.3962855542537453,1.592025863857646,103.29753850333867,0.2800240869410609
PP,larger microplastic,fragment,oxidized,216,0.6040159624622391,0.654937405294349,1.5041748123112495,1.5325368597905282,103.99086433153582,0.27919896980368397
PET,small microplastic,fiber,UV-aged,216,0.61791614301549,0.6502711590123887,1.5532011050641201,1.4498142959782594,103.32070336066178,0.2790330905264205
PVC,small microplastic,sphere,oxidized,216,0.6033349106329635,0.6370029720919024,1.4702236863090195,1.5513072233164915,101.16603739021136,0.2758531799061579
PE,larger microplastic,fiber,UV-aged,216,0.6005467051887192,0.6542396483600347,1.485280963895494,1.4680499482325606,103.86627181316952,0.2745798384108605
PET,submicron-to-small,fragment,pristine,216,0.5811338688800518,0.6367126098477511,1.3773259706850847,1.4625672529427023,101.14780333580585,0.2735773452918594
PS,larger microplastic,fiber,UV-aged,216,0.6189687441553966,0.6455806143899887,1.5524584912091801,1.4334514648958991,102.5401889735004,0.2734000679129125
PET,small microplastic,fragment,UV-aged,216,0.6062661094077322,0.6352966389555696,1.4800186368311106,1.465404692301995,100.91662937287055,0.2723895899100699
PE,larger microplastic,fragment,UV-aged,216,0.5887442161989137,0.6447839353364867,1.4268985309379798,1.498938985188595,102.35287806395918,0.27174197924097054
PE,small microplastic,fiber,pristine,216,0.5660722245808295,0.6474986933714221,1.347927486413658,1.4337930398588314,102.79196689574519,0.2703639873268435
PE,larger microplastic,sphere,oxidized,216,0.5808607817986565,0.6364201392478545,1.3810503203226294,1.5611034709545535,101.00070014368764,0.27015510131767206
PVC,nano-scale,sphere,pristine,432,0.5767438266855438,0.6251664953184018,1.329017155067821,1.517452920183604,99.28522534618575,0.2701143520519784
PS,larger microplastic,fragment,UV-aged,216,0.6072580166948276,0.6356379365818844,1.491194243962379,1.4602612488475577,100.94735066252096,0.26996423143677495
PVC,larger microplastic,fiber,oxidized,216,0.624529001280036,0.6367128614049852,1.550769637540418,1.4246878405655752,101.12135736154757,0.2695884104801156
PP,larger microplastic,fiber,UV-aged,216,0.5989990910936515,0.6438881181422422,1.4590346453686545,1.4430426416298179,102.21396952658039,0.2691226952291486
PS,larger microplastic,sphere,oxidized,216,0.5994476929573089,0.626949881728254,1.44378018721445,1.51677798432669,99.54174646632798,0.267832615105484
PS,small microplastic,fiber,pristine,216,0.5846304635812832,0.6364360031706789,1.4056347002816314,1.394212492508571,101.08161438832418,0.26750758158527077
PET,small microplastic,sphere,oxidized,216,0.5979258646808928,0.6204826751372998,1.4169894317752831,1.506698586192047,98.52539760099872,0.266320686765912
PP,larger microplastic,fragment,UV-aged,216,0.5871928727003077,0.6341239276681837,1.4006504811993492,1.4724101494863175,100.65117203659729,0.26606653586459017
PE,small microplastic,fragment,pristine,216,0.5542858321773656,0.6348532272871042,1.2871147723448753,1.457373223105165,100.76396195628143,0.2656686500638819
PVC,larger microplastic,fragment,oxidized,216,0.6128392501496828,0.6259898204535346,1.4873514140504749,1.4494689521386217,99.40324116446683,0.2656083206068361
PP,small microplastic,fiber,pristine,216,0.564519270865418,0.6363330907497597,1.3221713069356054,1.407333048336996,101.00968070885087,0.2644916544748745
PP,larger microplastic,sphere,oxidized,216,0.5793061927889301,0.6254763811286165,1.3546953675465205,1.5325500246967152,99.25364733431744,0.2642573526297991
PVC,small microplastic,sphere,UV-aged,216,0.5868759781663286,0.6166148713050271,1.3704845428226193,1.4912376535397698,97.89713956627226,0.26307470633881447
PS,small microplastic,fragment,pristine,216,0.572916094765465,0.6229926977231336,1.3412428403216576,1.4128818809463648,98.92479623843582,0.26203047588350503
PET,larger microplastic,fiber,oxidized,216,0.6191503126962326,0.6220855986162305,1.4992501732121173,1.3876208609022005,98.78382427113077,0.2612246290416874
PP,small microplastic,fragment,pristine,216,0.5527303785549366,0.6233505646065062,1.261373635711357,1.4292743994434587,98.92799519837918,0.2595583434216305
PVC,submicron-to-small,sphere,pristine,216,0.560646799634902,0.6095398629202257,1.2548700889542863,1.4680128824408964,96.76622099673672,0.259329374155967
PET,nano-scale,sphere,pristine,432,0.5714177928334218,0.6051282407975442,1.2730638800751204,1.4645880976623933,96.0837434943504,0.2586008316690945
PE,larger microplastic,sphere,UV-aged,216,0.5640026222530022,0.615778390849666,1.284201485842653,1.499758182672915,97.69014553746058,0.2572689976583282
PET,larger microplastic,fragment,oxidized,216,0.6074476377004567,0.6109822714898999,1.4364183801205899,1.4104283452233963,97.00513735036122,0.2569836184833985
PVC,larger microplastic,fiber,UV-aged,216,0.6077462224660154,0.6160600155741361,1.4441971022343223,1.3671637682790836,97.80844448416407,0.2564571307233146
PS,larger microplastic,sphere,UV-aged,216,0.5825581022846698,0.606212652478456,1.3428178459295539,1.4559000874833925,96.21647783679818,0.2547556767356546
PET,small microplastic,sphere,UV-aged,216,0.5814666556877618,0.6001784139759739,1.3199080646330208,1.4472641050659263,95.27115623971801,0.25363601824118726
PVC,larger microplastic,fragment,UV-aged,216,0.5959941747400436,0.6052547249877217,1.383772398884203,1.3904996691365366,96.07823413601444,0.25247345067042176
PP,larger microplastic,sphere,UV-aged,216,0.562449298595887,0.604915016893905,1.2591017920713623,1.4716550907879566,95.9568502779297,0.25143530757129295
PVC,larger microplastic,sphere,oxidized,216,0.5881509515077189,0.5957179695244719,1.3363655213246746,1.4424792473775847,94.53782793046874,0.24978092118402204
PVC,small microplastic,fiber,pristine,216,0.5733474865361502,0.605104313716447,1.3021071031716818,1.3249484159002767,96.06125589834281,0.24976895783238542
PE,small microplastic,sphere,pristine,216,0.5294326067396884,0.6021919523583031,1.1484172512280815,1.449813517579342,95.51417632351597,0.24930832161360733
PET,submicron-to-small,sphere,pristine,216,0.5552632219036774,0.5909195898869094,1.2038354748829956,1.4190447541855589,93.79244827234244,0.2487079344836046
PET,larger microplastic,fiber,UV-aged,216,0.6023744727569541,0.6015882546543175,1.3955206316413369,1.3308630602913778,95.49688475242091,0.24826699481596298
PS,small microplastic,sphere,pristine,216,0.5480948260783506,0.5897280055389669,1.196832477088756,1.3994903713619278,93.57818379353077,0.24481791486355362
PET,larger microplastic,fragment,UV-aged,216,0.5906081748320955,0.5903923944661275,1.335624515597809,1.352218391411129,93.7044990061877,0.2440047960149281
PVC,small microplastic,fragment,pristine,216,0.5616030583050015,0.5908043529347066,1.2388439422205275,1.3400409870135934,93.7688556405453,0.24374464554615827
PP,small microplastic,sphere,pristine,216,0.5278760365289574,0.5904650731814141,1.123839379135887,1.4200010796211744,93.64368275446304,0.2430178638335747
PET,small microplastic,fiber,pristine,216,0.5679554313379229,0.5896547986549481,1.2557085563639856,1.287045267329679,93.59403742905907,0.24113649060752315
PET,larger microplastic,sphere,oxidized,216,0.5827528884793797,0.580494673158065,1.2883981260432724,1.4015185064136337,92.1068282692062,0.2410291911638946
PE,larger microplastic,fiber,pristine,216,0.55118193113981,0.5963934601955523,1.2035992840900784,1.3106025001361024,94.58014168057882,0.23841325828671933
PVC,larger microplastic,sphere,UV-aged,216,0.5712750092488498,0.5752587041731284,1.2408839820614903,1.382846589118598,91.25963641649417,0.23697652349887832
PS,larger microplastic,fiber,pristine,216,0.5694535399954672,0.5871490618349825,1.2584936210153417,1.2761173514597397,93.16143948388783,0.2365630975901737
PE,larger microplastic,fragment,pristine,216,0.539154904456234,0.5863101729668441,1.1521503982211425,1.336753444650139,92.9687870587775,0.23534226006008974
PET,small microplastic,fragment,pristine,216,0.5562018403336481,0.5749527234770122,1.193049338901776,1.3000871702452979,91.23801633747368,0.23482404591170117
PP,larger microplastic,fiber,pristine,216,0.5496402827297877,0.5863170024582156,1.180978065479378,1.286859219690672,92.97421652622096,0.23321399683445984
PS,larger microplastic,fragment,pristine,216,0.5575352053742497,0.576743813095967,1.2048253698243439,1.2986357772340222,91.49738679482113,0.2329818337666233
PP,larger microplastic,fragment,pristine,216,0.5376087970857671,0.5759236208796971,1.129531895919875,1.3115075613548146,91.31332835872442,0.22991599008545915
PET,larger microplastic,sphere,UV-aged,216,0.5658816037337173,0.56017923501795,1.1955522052653083,1.342651651334449,88.85280641264426,0.22842973386695423
PVC,small microplastic,sphere,pristine,216,0.5367689236191141,0.5569524601656336,1.0999686018068662,1.3231164021959119,88.33293417388778,0.2262109141102682
PE,larger microplastic,sphere,pristine,216,0.5142926738839871,0.5578057847472556,1.0302141715876962,1.335295163657059,88.39355006984813,0.22190115205351824
PVC,larger microplastic,fiber,pristine,216,0.5582994838041465,0.5586816300871121,1.1661944001065987,1.2137425438861476,88.60522737120529,0.22076015198953733
PS,larger microplastic,sphere,pristine,216,0.5327278377817174,0.5479353410327069,1.0782299447763526,1.2923615506925443,86.87276178047927,0.21884818424247415
PET,small microplastic,sphere,pristine,216,0.53136380062984,0.5408698985210696,1.0569469860502156,1.2811311873121658,85.7673061657203,0.21718525501997998
PVC,larger microplastic,fragment,pristine,216,0.546331102802557,0.5473495023670366,1.1131505204351095,1.2326929548034298,86.79379966139622,0.21673839620660115
PP,larger microplastic,sphere,pristine,216,0.5127440196181763,0.5472259957340437,1.0086485179543618,1.3085057603934838,86.70820469013209,0.2165899756748886
PET,larger microplastic,fiber,pristine,216,0.552950982946751,0.5447220111682503,1.125186998461278,1.1796492392745481,86.37871918409714,0.21337936895902412
PET,larger microplastic,fragment,pristine,216,0.540965195789621,0.5329809721013805,1.0725585374544497,1.196622149515562,84.50231597777132,0.2092162115086946
PVC,larger microplastic,sphere,pristine,216,0.521497827505728,0.5179623430627726,0.9913889737251302,1.2231050454509502,82.080352945524,0.20321439319783452
PET,larger microplastic,sphere,pristine,216,0.5161221135058649,0.5033801289420242,0.9532405346073248,1.1851500514255318,79.75639657904095,0.19570289055222403
