polymer,size_class,shape,aging,n_scenarios,baseline_mean_risk,mc_mean_risk,mc_sd_risk,mean_prob_severe,mean_prob_high_or_severe,mean_uncertainty_band,stable_classification_rate
PET,small microplastic,fiber,pristine,216,0.414026780067657,0.4140806951977154,0.01464952909457633,0.00043209876543209873,0.22177469135802472,0.04766702655385174,0.8379629629629629
PS,larger microplastic,fiber,pristine,216,0.4138450374822341,0.41382390490527016,0.014611468254979186,0.00037037037037037035,0.21932098765432098,0.04773518139824544,0.8379629629629629
PP,submicron-to-small,sphere,pristine,216,0.411918735114882,0.4119697388829588,0.01464455805102169,0.0008024691358024692,0.22405864197530864,0.047577776090342534,0.8148148148148148
PE,small microplastic,fragment,pristine,216,0.41100281611050943,0.411079364271877,0.014517484339074845,0.0011265432098765433,0.22203703703703703,0.0472865821636462,0.8148148148148148
PE,larger microplastic,sphere,UV-aged,216,0.41113101911094774,0.4110652883014639,0.014574951588380913,0.000925925925925926,0.22125,0.047498967809257796,0.8009259259259259
PVC,submicron-to-small,sphere,pristine,216,0.4106612450102451,0.4107503991193318,0.014475704948429322,0.0002623456790123457,0.2145679012345679,0.047267355892682855,0.8055555555555556
PVC,larger microplastic,sphere,UV-aged,216,0.4092584508428126,0.40919860173512956,0.014448318747909174,0.00029320987654320993,0.20919753086419754,0.04718086180767941,0.8055555555555556
PVC,small microplastic,fragment,pristine,216,0.4086634113787018,0.4086079830497557,0.014457988978634881,0.00029320987654320993,0.20947530864197533,0.04711548924726228,0.8148148148148148
PP,larger microplastic,sphere,UV-aged,216,0.4081621040622396,0.4082087538294741,0.014433893461002727,0.0004938271604938272,0.21296296296296297,0.04694842411824158,0.8009259259259259
PP,small microplastic,fragment,pristine,216,0.40794959379825996,0.4079542554627356,0.01443055958585716,0.00043209876543209873,0.2133179012345679,0.04716340700368838,0.7962962962962963
PET,submicron-to-small,sphere,pristine,216,0.4039405001585202,0.4038263643268528,0.014101786823198,1.54320987654321e-05,0.19583333333333333,0.04599393946028657,0.8055555555555556
PS,larger microplastic,fragment,pristine,216,0.40295926146180255,0.40301522938665246,0.014234316177113014,0.0001080246913580247,0.19415123456790123,0.04635453399827713,0.8148148148148148
PET,larger microplastic,sphere,UV-aged,216,0.40316330547922935,0.4029957522534206,0.014286599439913327,4.6296296296296294e-05,0.19294753086419755,0.046358903831551355,0.8148148148148148
